producto_buscado_arg,share,share_canasta
Pantalón de jean hombre,0.09,0.12
Remera hombre,0.07,0.10
Pantalón de jean mujer,0.07,0.09
Camisa hombre,0.06,0.08
Remera mujer,0.06,0.08
Campera hombre,0.04,0.06
Campera mujer.,0.04,0.05
Blusa mujer,0.02,0.03
Camisa mujer,0.02,0.03
Pantalón de jean niño,0.02,0.02
Buzo hombre,0.02,0.02
Joggins hombre,0.02,0.02
Traje hombres,0.02,0.02
Remera bebés,0.02,0.02
Remera niños,0.02,0.02
Calzoncillo hombre,0.02,0.02
Mono mujer,0.01,0.02
Vestido mujer,0.01,0.02
Buzo niño,0.01,0.02
Buzo bebé,0.01,0.02
Bermuda hombre,0.01,0.01
Traje de baño hombre,0.01,0.01
Campera para niños,0.01,0.01
Campera para bebés,0.01,0.01
Pollera mujer,0.01,0.01
Buzo mujer,0.01,0.01
Joggins mujer,0.01,0.01
Bombacha,0.01,0.01
Corpiño,0.01,0.01
Medias,0.01,0.01
Soquetes,0.01,0.01
Vestido bebés,0.00,0.01
Vestido niñas,0.00,0.01