Número,Producto,Argentina,Brasil,Perú,Colombia,México,Uruguay,Chile,
1,"Blusa, camisa mujer",Blusa mujer,Blusa femenina,Blusa mujer,Blusa,Blusa mujer,Blusa mujer,Blusa mujer,
2,"Blusa, camisa mujer",Camisa mujer,Camisa femenina,camisa mujer,Camiseta femenina,Camisa mujer,Camisa mujer,Camisa mujer,
3,"Bombacha, corpiño y conjuntos",Bombacha,calcinha,calzón,Pantaleta,Tanga,Bombacha,Calzones,
4,"Bombacha, corpiño y conjuntos",Corpiño,sutiã,sostén,Brasier,Brasier,Soutien,Sosten,
5,"Bombacha, corpiño y conjuntos",Conjunto de lencería,Conjunto lingerie,conjunto lencería,Conjunto lencería,Coordinado lencería,Conjunto de lencería,Conjunto lenceria,
6,Calzoncillo,Calzoncillo hombre,Cueca,Calzoncillo,Boxer,Boxer,Calzoncillo hombre,Boxer,
7,Calzoncillo,Boxer hombre,Boxer,boxer hombres,Calzoncillos hombre,Trusa,Boxer hombre,Calzoncillos,
8,Camisa hombre,Camisa hombre,Camisa social masculino,camisa hombre,Camisa hombre,Camisa hombre,Camisa hombre,Camisa hombre,
9,Campera hombre,Campera hombre,Jaqueta masculino,casaca hombre,Chaqueta hombre,Chamarra hombre,Campera hombre,Chaqueta hombre,
10,Campera para mujeres,Campera mujer,Jaqueta femenina,casaca mujer,Chaqueta mujer,Chamarra mujer,Campera mujer,Chaqueta mujer,
11,camperas para niños y bebés,Campera para niños,Jaqueta infantil,casaca niño,Chaqueta nilo,Chamarra niño,Campera para niños,Chaqueta niño,
12,camperas para niños y bebés,Campera para bebés,Jaqueta para bebês ,casacas para bebés,Chaqueta bebe,Chamarra bebe,Campera para bebés,Chaqueta bebe,
13,Joggins mujer,Joggins mujer,Calça femenina jogger,jogger para mujer,Sudadera hombre,Jogger mujer,Pantalon deportivo mujer,Pantalon deportivo mujer,
14,Joggins mujer,buzo mujer,Blusa femenina,polera mujer,Buzo hombre,Sudadera mujer,Buzo mujer,Buzo mujer,
15,Joggins para hombres,joggins hombre,Calça Masculino Jogger,jogger hombre,Sudadera hombre,Jogger hombre,Pantalón deportivo hombre,Pantalon deportivo hombre,
16,Joggins para hombres,buzo hombre,Blusa masculino,polera hombre,Buzo mujer,Sudadera hombre,Buzo hombre,Buzo hombre,
17,Joggins para niños y bebés,joggins niño,Calça jogger infantil,jogger niño,Sudadera niño,Jogger niño,Pantalón deportivo niño,Pantalon deportivo niño,
18,Joggins para niños y bebés,buzo niño,Blusa infantil,polera niño,Hoddie niño,Sudadera niño,Buzo niño,Buzo niño,
19,Joggins para niños y bebés,joggins bebe,Calça bebe,joger niño,Sudadera bebe,Jogger bebe,Pantalón deportivo bebé,Pantalon deportivo bebe,….
20,Joggins para niños y bebés,buzo bebe,Blusa bebe,polera bebés,Buzo bebé,Sudadera bebe,Buzo bebé,Buzo bebe,
21,Medias y soquetes (incluye medias y soquetes para todos los géneros y rangos etarios),Medias,meias,medias,Calcetines medias,Calcetines,Medias,Calcetines,
22,Medias y soquetes (incluye medias y soquetes para todos los géneros y rangos etarios),Soquetes,meia curta,medias,Tobilleras,Medias,Soquetes,Medias,
23,Pantalón de jean hombre,Pantalón de jean hombre,Calça jean masculino,pantalón jeans hombre,jeans hombrer,Jeans hombre,Pantalón de jean hombre,Jeans hombre,
24,Pantalón de jean mujer,Pantalón de jean mujer,Calça jean femenina,pantalón jeans mujer,jeans mujer,Jeans mujer,Pantalón de jean mujer,Jeans mujer,
25,"Pantalón de jean, niño y bebé",Pantalón de jean niño,Calça jean infantil,pantalón jean niño,jean niño,Jeans niño,Pantalón de jean niño,Jeans niño,
26,"Pantalón de jean, niño y bebé",Pantalón de jean bebés,Calça jean bebes,jeans bebés,jean bebe,Jeans bebe,Pantalón de jean bebés,Jeans bebe,
27,Pollera para mujeres,Pollera mujer,saia,falda  ,Falda,Falda,Pollera mujer,Falda,
28,"Remera, chomba, polera hombre",Remera hombre,Camiseta masculino,polo hombre,Camiseta hombre,Playera hombre,Remera hombre,Polera hombre,
29,"Remera, chomba, polera hombre",Chomba hombre,camisa polo masculina,polo camisero hombre,camiseta tipo polo hombre,Playera tipo polo,Chomba hombre,Polera pique hombre,
30,"Remera, chomba, polera hombre",Polera hombre,cacharel masculina,cafarena hombre,buzo cuello tortuga hombre,,Polera hombre,-,
31,"Remera, chomba, polera mujer",Remera mujer,Camiseta femenina,polo mujer,Camiseta mujer,Playera mujer,Remera mujer,Polera mujer,
32,"Remera, chomba, polera mujer",Chomba mujer,camisa polo femenina,polo camisero mujer,camiseta tipo polo mujer,Playera tipo polo mujer,Chomba mujer,Polera pique mujer,
33,"Remera, chomba, polera mujer",Polera mujer,cacharel femenina,cafarena mujer,buzo cuello tortuga mujer,,Polera mujer,-,
34,"Remera, polera de algodón para bebés y niños",Remera bebés,Camiseta infantil,polo bebés,Camiseta niño,Playera niño,Remera bebés,Polera niño,
35,"Remera, polera de algodón para bebés y niños",Remera niños,Camiseta infantil,polo niños,Camiseta bebe,Playera bebe,Remera niños,Polera bebe,
36,"Ropa interior infantes (incluye calzoncillos, bombachas, corpiños y conjuntos para infantes)",bombacha niña,calcinha infantil,calzón niña,Panties niña,Pantaleta niña,bombacha niña,Calzones niña,
37,"Ropa interior infantes (incluye calzoncillos, bombachas, corpiños y conjuntos para infantes)",calzoncillos niños,cuenca infantil,bóxer niño,Boxer niño,Boxer niño,calzoncillos niños,Boxer niño,
38,"Short, bermuda, jardinero niño y bebé",Short niño,Short infantil,short niño,Short niño,Shorts niño,Short niño,Short niño,
39,"Short, bermuda, jardinero niño y bebé",Short bebé,short bebe,shot bebe,Short bebe,Shorts bebe,Short bebé,Short bebe,
40,"Short, bermuda, jardinero niño y bebé",Bermuda niño,Bermuda infantil,bermuda niño,Bermuda niño,Bermuda niño,Bermuda niño,Bermuda niño,
41,"Short, bermuda, jardinero niño y bebé",Bermuda bebé,bermuda bebe,bermuda bebé,Bermuda bebe,Bermuda bebe,Bermuda bebé,Bermuda bebe,
42,"Short, bermuda, jardinero niño y bebé",Jardinero niño,jardineiro infantil,overol niños,Overol niños,Overol niño,Jardinero niño,Jardinero nilño,
43,"Short, bermuda, jardinero niño y bebé",Jardinero bebé,jardineiro bebe,overol bebés,Overol bebe,Overol bebe,Jardinero bebé,Jardineño bebe,
44,"Short, bermuda, traje de baño, malla para hombre",Short hombre,short masculino,short hombre,Short hombre ,Shorts hombre,Short hombre,Short hombre,
45,"Short, bermuda, traje de baño, malla para hombre",Bermuda hombre,bermuda masculino,bermuda hombre,Bermuda hombre,Bermuda hombre,Bermuda hombre,Bermuda hombre,
46,"Short, bermuda, traje de baño, malla para hombre",Traje de baño hombre,short praia masculino,traje de baño hombre,Vestido de baño hombre,Traje de baño hombre,short de baño hombre,Traje de baño hombre,
47,"Traje, ambo hombre",Traje hombre,terno hombres,smoking,Traje de hombre,Traje hombre,Traje hombre,Traje hombre,
48,Vestido de mujer,Vestido mujer,Vestido femenina,vestido mujer,Vestido,Vestido mujer,Vestido mujer,Vestido mujer,
49,Vestido de mujer,Mono mujer,macacão,mono de mujer,Mono de mujer,Mono mujer,Mono mujer,Mono mujer,
50,vestido para niñas y bebés,Vestido niñas,Vestido infantil,Vestido niña,Vestido niña,Vestido niña,Vestido niñas,Vesitdo niña,
51,vestido para niñas y bebés,Vestido bebés,Vestido bebes,vestido bebés,Vestido bebe,Vestido bebe,Vestido bebés,Vestido bebe,
52,Vestidos y polleras para niñas y bebés,Pollera niñas,saia infantil,falda niña,Falda niña,Falda niña,Pollera niñas,Falda niña,
53,Vestidos y polleras para niñas y bebés,Pollera bebés,saia bebe,falda bebés,Falda bebe,Falda bebe,Pollera bebés,Falda bebe,